Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2016-06-29	1256.25	1232.65	1237.50	1251.45	2531264.00	1132.64	36.85	0	0	1	80	0
2016-06-30	1281.45	1250.18	1261.00	1276.55	5121812.00	1155.36	45.27	0	0	1	80	0
2016-07-01	1282.30	1247.18	1281.00	1250.43	2197296.00	1131.71	39.38	0	0	1	80	0
2016-07-04	1262.93	1241.00	1258.00	1247.10	1883484.00	1128.70	38.69	0	0	1	80	0
2016-07-05	1248.53	1238.57	1247.10	1242.65	1559748.00	1124.68	37.74	0	0	1	80	0
2016-07-07	1245.93	1212.50	1243.85	1214.90	3316800.00	1099.56	32.39	0	0	1	80	0
2016-07-08	1221.03	1201.75	1217.50	1213.30	2456356.00	1098.11	32.11	0	0	1	80	0
2016-07-11	1235.90	1213.50	1215.00	1232.07	1543632.00	1115.10	38.85	0	0	1	80	0
2016-07-12	1237.50	1217.93	1235.85	1232.47	1465536.00	1115.47	38.99	0	0	1	80	0
2016-07-13	1249.62	1225.62	1239.00	1246.55	2102300.00	1128.21	43.83	0	0	1	80	0
2016-07-14	1264.50	1235.50	1243.00	1260.95	2699988.00	1141.24	48.35	0	0	1	80	0
2016-07-15	1263.90	1213.28	1258.50	1222.68	8336366.00	1106.60	39.30	0	0	1	80	0
2016-07-18	1234.50	1215.30	1223.50	1216.72	2598850.00	1101.21	38.11	0	0	1	80	0
2016-07-19	1236.40	1213.75	1213.75	1233.10	2362896.00	1116.03	43.22	0	0	1	80	0
2016-07-20	1251.25	1224.07	1225.00	1247.47	2815252.00	1129.04	47.33	0	0	1	80	0
2016-07-21	1259.75	1232.22	1244.75	1253.03	2527148.00	1134.07	48.87	0	0	1	80	0
2016-07-22	1262.00	1246.00	1249.45	1257.55	1517216.00	1138.16	50.15	0	0	1	80	0
2016-07-25	1281.60	1252.90	1256.00	1279.47	1688796.00	1161.00	55.91	0	0	1	80	0
2016-07-26	1284.00	1266.50	1279.47	1276.30	2311290.00	1158.12	54.92	0	0	1	80	0
2016-07-27	1290.20	1272.50	1277.50	1288.78	1750510.00	1169.44	58.06	0	0	1	80	0
