Date	High	Low	Open	Close	Volume	Adj Close	sma20	sma50	Signal	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2016-06-01	1322.50	1285.50	1285.60	1316.78	1911942.00	1179.53	1316.78	1316.78	0	0	0	0	0	100000
2016-06-02	1327.15	1300.00	1300.00	1325.07	1408756.00	1186.96	1320.92	1320.92	0	0	0	0	0	100000
2016-06-03	1329.00	1310.25	1325.70	1314.78	1554922.00	1177.73	1318.88	1318.88	0	0	0	0	0	100000
2016-06-06	1319.50	1301.60	1310.25	1306.25	1322026.00	1182.24	1315.72	1315.72	0	0	0	0	0	100000
2016-06-07	1319.50	1306.50	1307.00	1315.57	1202194.00	1190.68	1315.69	1315.69	0	0	0	0	0	100000
2016-06-08	1314.28	1302.75	1308.62	1306.55	938266.00	1182.51	1314.17	1314.17	0	0	0	0	0	100000
2016-06-09	1311.20	1277.60	1311.20	1288.62	1562138.00	1166.29	1310.52	1310.52	0	0	0	0	0	100000
2016-06-10	1301.62	1276.60	1283.00	1277.88	1396832.00	1156.56	1306.44	1306.44	0	0	0	0	0	100000
2016-06-13	1276.68	1259.00	1270.00	1273.50	1029978.00	1152.60	1302.78	1302.78	0	0	0	0	0	100000
2016-06-14	1279.47	1259.12	1279.47	1267.43	977570.00	1147.10	1299.24	1299.24	0	0	0	0	0	100000
2016-06-15	1282.45	1261.00	1265.00	1278.43	1270844.00	1157.05	1297.35	1297.35	0	0	0	0	0	100000
2016-06-16	1282.35	1258.22	1272.78	1279.15	1145070.00	1157.71	1295.83	1295.83	0	0	0	0	0	100000
2016-06-17	1305.00	1279.50	1279.50	1301.30	1878988.00	1177.76	1296.25	1296.25	0	0	0	0	0	100000
2016-06-20	1334.00	1295.90	1301.30	1329.65	1872838.00	1203.42	1298.64	1298.64	0	0	0	0	0	100000
2016-06-21	1332.50	1320.70	1331.75	1325.60	1027690.00	1199.75	1300.44	1300.44	0	0	0	0	0	100000
2016-06-22	1338.85	1315.88	1325.00	1333.82	1761712.00	1207.19	1302.52	1302.52	0	0	0	0	0	100000
2016-06-23	1329.75	1312.65	1327.50	1322.68	1397014.00	1197.10	1303.71	1303.71	0	0	0	0	0	100000
2016-06-24	1296.60	1257.07	1282.57	1286.97	3766586.00	1164.79	1302.78	1302.78	0	0	0	0	0	100000
2016-06-27	1273.50	1241.32	1273.50	1247.93	4272566.00	1129.45	1299.89	1299.89	0	0	0	0	0	100000
2016-06-28	1251.45	1229.20	1247.93	1231.97	4499524.00	1115.01	1296.50	1296.50	0	0	0	0	0	100000
2016-06-29	1256.25	1232.65	1237.50	1251.45	2531264.00	1132.64	1293.23	1294.35	0	0	0	0	0	100000
2016-06-30	1281.45	1250.18	1261.00	1276.55	5121812.00	1155.36	1290.80	1293.54	0	0	0	0	0	100000
2016-07-01	1282.30	1247.18	1281.00	1250.43	2197296.00	1131.71	1287.59	1291.67	0	0	0	0	0	100000
2016-07-04	1262.93	1241.00	1258.00	1247.10	1883484.00	1128.70	1284.63	1289.81	0	0	0	0	0	100000
2016-07-05	1248.53	1238.57	1247.10	1242.65	1559748.00	1124.68	1280.98	1287.92	0	0	0	0	0	100000
2016-07-07	1245.93	1212.50	1243.85	1214.90	3316800.00	1099.56	1276.40	1285.12	0	0	0	0	0	100000
2016-07-08	1221.03	1201.75	1217.50	1213.30	2456356.00	1098.11	1272.63	1282.46	0	0	0	0	0	100000
2016-07-11	1235.90	1213.50	1215.00	1232.07	1543632.00	1115.10	1270.34	1280.66	0	0	0	0	0	100000
2016-07-12	1237.50	1217.93	1235.85	1232.47	1465536.00	1115.47	1268.29	1278.99	0	0	0	0	0	100000
2016-07-13	1249.62	1225.62	1239.00	1246.55	2102300.00	1128.21	1267.25	1277.91	0	0	0	0	0	100000
2016-07-14	1264.50	1235.50	1243.00	1260.95	2699988.00	1141.24	1266.38	1277.37	0	0	0	0	0	100000
2016-07-15	1263.90	1213.28	1258.50	1222.68	8336366.00	1106.60	1263.55	1275.66	0	0	0	0	0	100000
2016-07-18	1234.50	1215.30	1223.50	1216.72	2598850.00	1101.21	1259.32	1273.87	0	0	0	0	0	100000
2016-07-19	1236.40	1213.75	1213.75	1233.10	2362896.00	1116.03	1254.50	1272.67	0	0	0	0	0	100000
2016-07-20	1251.25	1224.07	1225.00	1247.47	2815252.00	1129.04	1250.59	1271.95	0	0	0	0	0	100000
2016-07-21	1259.75	1232.22	1244.75	1253.03	2527148.00	1134.07	1246.55	1271.43	0	0	0	0	0	100000
2016-07-22	1262.00	1246.00	1249.45	1257.55	1517216.00	1138.16	1243.29	1271.05	0	0	0	0	0	100000
2016-07-25	1281.60	1252.90	1256.00	1279.47	1688796.00	1161.00	1242.92	1271.27	0	0	0	0	0	100000
2016-07-26	1284.00	1266.50	1279.47	1276.30	2311290.00	1158.12	1244.34	1271.40	0	0	0	0	0	100000
2016-07-27	1290.20	1272.50	1277.50	1288.78	1750510.00	1169.44	1247.18	1271.84	0	0	0	0	0	100000
2016-07-28	1314.78	1288.53	1290.25	1309.62	4632080.00	1188.36	1250.09	1272.76	0	0	0	0	0	100000
2016-07-29	1317.45	1299.50	1307.00	1309.65	2488084.00	1188.39	1251.74	1273.64	0	0	0	0	0	100000
2016-08-01	1362.50	1316.00	1316.00	1354.12	3961704.00	1228.74	1256.93	1275.51	0	0	0	0	0	100000
2016-08-02	1357.85	1344.90	1351.45	1349.60	2578162.00	1224.64	1262.05	1277.19	0	0	0	0	0	100000
2016-08-03	1349.50	1324.53	1343.00	1328.15	2294702.00	1205.17	1266.33	1278.32	0	0	0	0	0	100000
2016-08-04	1341.47	1318.12	1335.00	1326.00	1415416.00	1203.22	1271.88	1279.36	0	0	0	0	0	100000
2016-08-05	1342.15	1316.00	1336.95	1324.55	1868484.00	1201.91	1277.44	1280.32	0	0	0	0	0	100000
